Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","1988","1988","°C","0.824","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","1989","1989","°C","0.398","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","1990","1990","°C","1.112","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","1991","1991","°C","0.002","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","1992","1992","°C","0.512","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","1993","1993","°C","0.498","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","1994","1994","°C","1.495","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","1995","1995","°C","0.395","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","1996","1996","°C","0.211","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","1997","1997","°C","0.907","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","1998","1998","°C","0.939","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","1999","1999","°C","0.889","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2000","2000","°C","1.217","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2001","2001","°C","1.503","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.884","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2003","2003","°C","1.497","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.718","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.528","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.808","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2007","2007","°C","1.519","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2008","2008","°C","1.089","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2009","2009","°C","1.182","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2010","2010","°C","0.696","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2011","2011","°C","1.2","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2012","2012","°C","1.486","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.946","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2014","2014","°C","1.573","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.647","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.649","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.559","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.792","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.639","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.825","E","Estimated value"
"ET","Temperature change","380","Italy","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.478","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1961","1961","°C","0.746","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1962","1962","°C","0.428","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1963","1963","°C","-0.213","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1964","1964","°C","0.498","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.175","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1966","1966","°C","0.415","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1967","1967","°C","0.16","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1968","1968","°C","0.1","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1969","1969","°C","-0.292","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1970","1970","°C","0.126","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1971","1971","°C","-0.752","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1972","1972","°C","-0.839","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1973","1973","°C","-0.173","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1974","1974","°C","-0.449","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1975","1975","°C","-0.106","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1976","1976","°C","-0.383","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1977","1977","°C","-0.177","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1978","1978","°C","0.086","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1979","1979","°C","0.259","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1980","1980","°C","0.162","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1981","1981","°C","0.321","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1982","1982","°C","0.692","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1983","1983","°C","0.529","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1984","1984","°C","-0.185","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1985","1985","°C","0.464","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1986","1986","°C","0.232","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1987","1987","°C","0.694","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1988","1988","°C","0.762","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1989","1989","°C","1.002","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1990","1990","°C","1.412","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1991","1991","°C","0.171","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1992","1992","°C","0.273","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1993","1993","°C","-0.095","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1994","1994","°C","0.997","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1995","1995","°C","1.387","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1996","1996","°C","0.655","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1997","1997","°C","1.467","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1998","1998","°C","1.116","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","1999","1999","°C","0.741","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.742","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2001","2001","°C","1.344","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.743","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2003","2003","°C","1.529","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.927","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.824","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2006","2006","°C","1.459","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2007","2007","°C","0.767","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.8","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2009","2009","°C","1.286","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2010","2010","°C","0.835","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2011","2011","°C","1.539","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2012","2012","°C","0.958","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.818","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2014","2014","°C","1.517","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.432","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.642","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.973","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.069","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.446","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.972","E","Estimated value"
"ET","Temperature change","724","Spain","7271","Temperature change","7020","Meteorological year","2021","2021","°C","1.312","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1961","1961","°C","0.003","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1962","1962","°C","-0.021","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1963","1963","°C","0.419","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1964","1964","°C","-0.283","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.357","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1966","1966","°C","-0.213","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1967","1967","°C","0.076","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1968","1968","°C","-0.075","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1969","1969","°C","-0.264","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1970","1970","°C","-0.029","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1971","1971","°C","-0.415","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1972","1972","°C","-0.251","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1973","1973","°C","-0.015","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1974","1974","°C","0.079","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1975","1975","°C","-0.393","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1976","1976","°C","-0.13","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1977","1977","°C","0.394","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1978","1978","°C","0.039","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1979","1979","°C","-0.298","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1980","1980","°C","0.413","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1981","1981","°C","0.871","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1982","1982","°C","-0.34","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1983","1983","°C","0.533","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1984","1984","°C","-0.229","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1985","1985","°C","-0.027","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1986","1986","°C","0.578","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1987","1987","°C","0.904","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1988","1988","°C","0.463","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1989","1989","°C","0.319","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1990","1990","°C","0.665","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1991","1991","°C","0.52","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1992","1992","°C","0.387","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1993","1993","°C","0.002","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1994","1994","°C","0.461","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1995","1995","°C","0.626","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1996","1996","°C","-0.011","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1997","1997","°C","0.39","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1998","1998","°C","1.264","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","1999","1999","°C","0.749","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.992","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.78","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.946","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.987","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.86","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2005","2005","°C","1.149","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2006","2006","°C","1.023","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2007","2007","°C","1.141","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.21","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.396","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2010","2010","°C","0.69","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.534","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2012","2012","°C","1.445","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.613","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.5","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.525","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2016","2016","°C","2.219","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.43","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.273","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2019","2019","°C","1.032","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7020","Meteorological year","2020","2020","°C","1.325","E","Estimated value"
